[15:05:40] [ERROR] Failed to resize buffers
[15:05:40] [ERROR] Failed to resize buffers
[15:05:40] [ERROR] Failed to resize buffers
[15:05:40] [ERROR] Failed to resize buffers
[15:05:40] [ERROR] Failed to resize buffers
[15:05:40] [ERROR] Failed to resize buffers
[15:05:40] [ERROR] Failed to resize buffers
[15:05:40] [ERROR] Failed to resize buffers
[15:05:40] [ERROR] Failed to resize buffers
[15:05:40] [ERROR] Failed to resize buffers
[15:05:40] [ERROR] Failed to resize buffers
[15:05:40] [ERROR] Failed to resize buffers
[15:05:40] [ERROR] Failed to resize buffers
[15:05:40] [ERROR] Failed to resize buffers
[15:05:40] [ERROR] Failed to resize buffers
[15:05:40] [ERROR] Failed to resize buffers
[15:05:40] [ERROR] Failed to resize buffers
[15:05:41] [ERROR] Failed to resize buffers
[15:05:41] [ERROR] Failed to resize buffers
[15:05:41] [ERROR] Failed to resize buffers
[15:05:41] [ERROR] Failed to resize buffers
[15:05:41] [ERROR] Failed to resize buffers
[15:05:41] [ERROR] Failed to resize buffers
[15:05:41] [ERROR] Failed to resize buffers
[15:05:41] [ERROR] Failed to resize buffers
[15:05:41] [ERROR] Failed to resize buffers
[15:05:41] [ERROR] Failed to resize buffers
[15:05:43] [ERROR] Failed to resize buffers
[15:05:43] [ERROR] Failed to resize buffers
[15:05:43] [ERROR] Failed to resize buffers
[15:05:43] [ERROR] Failed to resize buffers
[15:05:43] [ERROR] Failed to resize buffers
[15:05:43] [ERROR] Failed to resize buffers
[15:05:43] [ERROR] Failed to resize buffers
[15:05:43] [ERROR] Failed to resize buffers
[15:05:43] [ERROR] Failed to resize buffers
[15:05:43] [ERROR] Failed to resize buffers
[15:05:43] [ERROR] Failed to resize buffers
[15:05:43] [ERROR] Failed to resize buffers
[15:05:43] [ERROR] Failed to resize buffers
[15:05:43] [ERROR] Failed to resize buffers
[15:05:43] [ERROR] Failed to resize buffers
[15:05:43] [ERROR] Failed to resize buffers
[15:05:43] [ERROR] Failed to resize buffers
[15:05:43] [ERROR] Failed to resize buffers
[15:05:43] [ERROR] Failed to resize buffers
